DateFormatted,Globalstraling,Solskinstid,Lufttemperatur,Lufttrykk,Vindkast,hour,d_Friday,d_Monday,d_Saturday,d_Sunday,d_Thursday,d_Tuesday,d_Wednesday,month,weekend,public_holiday,raining,summer,winter,rush_hour,sleeptime,Vindretning_x,Vindretning_y,Total_trafikk
2023-01-01 00:00:00,-2.8666666666666667,0.0,0.7166666666666667,994.8333333333334,2.7000000000000006,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,-0.7937313588175958,0.6082684687122726,2.228
2023-01-01 01:00:00,-2.716666666666667,0.0,0.5833333333333334,995.0333333333333,3.1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0.5783323361679865,0.815801268044172,2.56
2023-01-01 02:00:00,-2.3333333333333335,0.0,-0.20000000000000004,995.4,2.0500000000000003,2,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0.7807940266766592,0.6247885145439602,1.992
2023-01-01 03:00:00,-1.6666666666666667,0.0,-1.3166666666666667,995.6666666666666,2.25,3,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,-0.7071067811865475,0.7071067811865476,1.844
2023-01-01 04:00:00,-2.1333333333333333,0.0,0.8333333333333334,995.5666666666666,5.5,4,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0.4331347858669631,0.9013291614454622,1.364
2023-01-01 05:00:00,-3.033333333333333,0.0,0.7833333333333333,995.5500000000001,4.75,5,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,-0.41733845448181783,0.9087511289735642,0.864
2023-01-01 06:00:00,-2.8833333333333333,0.0,0.39999999999999997,995.3833333333333,3.85,6,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0.23061587074244005,0.9730448705798239,2.016
2023-01-01 07:00:00,-2.5166666666666666,0.0,-1.8666666666666665,995.3333333333334,3.0500000000000003,7,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,-0.7771459614569709,0.6293203910498374,3.988
2023-01-01 08:00:00,-0.3166666666666667,0.0,-2.566666666666667,995.4,2.4,8,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,-0.8090169943749473,0.5877852522924732,2.308
2023-01-01 09:00:00,13.5,0.0,-3.1166666666666667,995.5666666666666,2.6,9,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,-0.7392394270225959,0.6734426995189005,3.356
2023-01-01 10:00:00,84.63333333333334,0.0,-2.5166666666666666,995.9333333333334,2.65,10,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,-0.747025071240996,0.6647958656139378,7.132
2023-01-01 11:00:00,87.39999999999999,0.0,-2.1333333333333333,996.35,1.9000000000000001,11,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,-0.9436085063935835,0.33106341788495836,7.9
2023-01-01 12:00:00,20.849999999999998,0.0,-2.4,996.7000000000002,1.0999999999999999,12,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,-0.8760262588340786,0.4822634071056688,9.096
2023-01-01 13:00:00,19.166666666666668,0.0,-2.4166666666666665,996.8000000000001,1.2,13,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,-0.848048096156426,0.5299192642332049,9.508
2023-01-01 14:00:00,8.049999999999999,0.0,-2.6833333333333336,997.35,0.5,14,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,-0.8616291604415258,0.5075383629607041,9.488
2023-01-01 15:00:00,-0.20000000000000004,0.0,-2.3833333333333333,998.0833333333334,1.3499999999999999,15,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,-0.7112085720101374,0.7029810574256615,10.944
2023-01-01 16:00:00,-0.5833333333333334,0.0,-2.433333333333333,998.5833333333334,1.25,16,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,-0.7753120572814659,0.6315783513024975,10.62
2023-01-01 17:00:00,-0.03333333333333333,0.0,-2.1666666666666665,999.1,0.9,17,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,-0.7844156649195757,0.6202354912682602,14.84
2023-01-01 18:00:00,-0.45,0.0,-1.6666666666666667,999.4833333333332,0.9,18,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,-0.6383200909243285,-0.7697710448713676,10.472
2023-01-01 19:00:00,0.03333333333333334,0.0,-1.5999999999999999,999.9,1.25,19,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,-0.8616291604415258,0.5075383629607041,9.784
2023-01-01 20:00:00,-0.25,0.0,-1.0666666666666667,999.8666666666667,1.05,20,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,-0.978748252132414,0.20506549916488745,9.752
2023-01-01 21:00:00,-0.7666666666666666,0.0,-1.0166666666666666,999.9499999999999,1.0999999999999999,21,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,-0.9075332975920036,0.41998013496090963,7.06
2023-01-01 22:00:00,-0.6,0.0,-1.1166666666666667,1000.6,0.85,22,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,-0.8274074411415105,0.5616021067834929,6.344
2023-01-01 23:00:00,-0.6833333333333332,0.0,-0.7166666666666667,1000.6999999999999,1.2,23,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,-0.8003827376560635,0.599489343743644,3.46
2023-01-02 00:00:00,-1.4666666666666668,0.0,-1.0166666666666666,1000.6666666666666,0.9499999999999998,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,-0.9977627428420542,0.06685438651502741,2.464
2023-01-02 01:00:00,-1.0166666666666666,0.0,-1.3666666666666665,1000.4833333333332,0.45,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,-0.3447521474853942,0.9386937502743954,1.364
2023-01-02 02:00:00,-0.43333333333333335,0.0,-1.0999999999999999,1000.35,0.9499999999999998,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,-0.7968815247130533,0.6041356102490562,0.444
2023-01-02 03:00:00,0.033333333333333326,0.0,-0.7333333333333334,1000.5166666666668,0.9,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,-0.9898590415514599,-0.142053081131052,0.788
2023-01-02 04:00:00,-0.7833333333333333,0.0,-0.5166666666666667,1000.6333333333333,1.0,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,-0.5994893437436442,-0.8003827376560635,1.112
2023-01-02 05:00:00,-1.4000000000000001,0.0,-0.21666666666666667,1000.5333333333333,1.45,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0.9366721892483976,-0.35020738125946765,5.664
2023-01-02 06:00:00,-1.1500000000000001,0.0,-0.4666666666666666,1000.4333333333334,1.1500000000000001,6,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.1621779231055672,-0.9867615321125792,22.08
2023-01-02 07:00:00,-1.4000000000000001,0.0,-0.21666666666666667,1000.4,1.9500000000000002,7,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0.8843094927823671,-0.46690118973396555,98.204
2023-01-02 08:00:00,-0.1333333333333334,0.0,-0.5499999999999999,1000.4333333333334,1.3,8,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,-0.6538608952570699,0.7566147828674926,131.968
